School type,Gender,Number of classes daily,Location of school,Remedial classes,Number of peer teachers,Library ,School level,Average KCSE Score,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,36.2,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,37.7,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,37,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,56.11,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,57,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,57,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,58,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,58,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,57.9,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,59,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,59,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,74.3,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,74.89,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,59,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,69.7,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,75.12,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,46,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,46,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,46.01,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,47,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,48,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,49,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,50.01,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,50.24,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,50.4,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,51,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,52.43,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,55,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,55.6,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,55.78,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,53.7,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,60.6,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,48.99,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,59.6,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,49.87,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,45.04,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,44.9,,,,
single-Gender,Male,11,Voi,yes,28,Yes,Extra County,39.99,,,,
